Código;Ação
ABEV3;Ambev
AERI3;Aeris
ALOS3;Allos
ALPA4;Alpargatas
ANIM3;Ânima Educação
ARML3;Armac
ARZZ3;Arezzo
ASAI3;Assaí
AZUL4;Azul
B3SA3;B3
BBAS3;Banco do Brasil
BBDC3;Bradesco
BBDC4;Bradesco
BBSE3;BB Seguridade
BEEF3;Minerva
BHIA3;Casas Bahia
BMGB4;Banco BMG
BPAC11;BTG Pactual
BPAN4;Banco Pan
BRAP4;Bradespar
BRFS3;BRF
BRKM5;Braskem
BRML3;BR Malls
CCRO3;CCR
CEAB3;C&A
CIEL3;Cielo
CMIG4;Cemig
CMIN3;CSN Mineração
COGN3;Cogna
CPFE3;CPFL Energia
CPLE6;Copel
CRFB3;Carrefour Brasil
CSAN3;Cosan
CSNA3;CSN
CVCB3;CVC
CYRE3;Cyrela
DXCO3;Dexco
ELET3;Eletrobras
ELET6;Eletrobras
EMBR3;Embraer
ENBR3;EDP Brasil
ENEV3;Eneva
ENGI11;Energisa
EQTL3;Equatorial
EZTC3;EZTec
FLRY3;Fleury
GGBR4;Gerdau
GETT11;Getnet
GOAU4;Metalúrgica Gerdau
GRND3;Grendene
HAPV3;Hapvida
HYPE3;Hypera
IGTI11;Iguatemi
IRBR3;IRB Brasil
ITSA4;Itaúsa
ITUB4;Itaú Unibanco
JBSS3;JBS
KLBN11;Klabin
LOGG3;LOG Commercial Properties
LREN3;Lojas Renner
LWSA3;LWSA
MATD3;Mater Dei
MGLU3;Magazine Luiza
MEAL3;International Meal Company
MILS3;Mills
MOVI3;Movida
MRFG3;Marfrig
MRVE3;MRV
MULT3;Multiplan
NTCO3;Natura
NEOE3;Neoenergia
ODPV3;Odontoprev
OFSA3;Omega Energia
PCAR3;Pão de Açúcar
PETR3;Petrobras
PETR4;Petrobras
PETZ3;Petz
POSI3;Positivo
PRIO3;PRIO
RADL3;Raia Drogasil
RAIL3;Rumo
RAIZ4;Raízen
RDOR3;Rede D'Or
RECV3;PetroRecôncavo
RENT3;Localiza
SANB11;Santander Brasil
SBSP3;Sabesp
SEQL3;Sequoia Logística
SHOW3;Time For Fun
SLCE3;SLC Agrícola
SMTO3;São Martinho
SLED4;Saraiva
SOMA3;Grupo Soma
STBP3;Santos Brasil
SUZB3;Suzano
TAEE11;Taesa
TIMS3;TIM
TOTS3;Totvs
TRPL4;Transmissão Paulista
UGPA3;Ultrapar
USIM5;Usiminas
VALE3;Vale
VAMO3;Vamos
VBBR3;Vibra Energia
VIIA3;Via
VIVT3;Telefônica Brasil
VULC3;Vulcabras
WEGE3;WEG
YDUQ3;Yduqs
